Time,Tc,T
1.400000000000000000e+01,2.970000000000000000e+02,3.200522046948680668e+02
1.410000000000000142e+01,2.970000000000000000e+02,3.200579332963584420e+02
1.420000000000000107e+01,2.970000000000000000e+02,3.200633453197218046e+02
1.430000000000000071e+01,2.970000000000000000e+02,3.200684278526643425e+02
1.440000000000000036e+01,2.970000000000000000e+02,3.200731761329171263e+02
1.450000000000000000e+01,2.970000000000000000e+02,3.200775917509636201e+02
1.460000000000000142e+01,2.970000000000000000e+02,3.200816811679753187e+02
1.470000000000000107e+01,2.970000000000000000e+02,3.200854544983716892e+02
1.480000000000000071e+01,2.970000000000000000e+02,3.200889245147956785e+02
1.490000000000000036e+01,2.970000000000000000e+02,3.200921058397035495e+02
1.500000000000000000e+01,2.970000000000000000e+02,3.200950142931981759e+02
1.510000000000000142e+01,2.970000000000000000e+02,3.200976663713593666e+02
1.520000000000000107e+01,2.970000000000000000e+02,3.201000788332568163e+02
1.530000000000000071e+01,2.970000000000000000e+02,3.201022686956152370e+02
1.540000000000000036e+01,2.970000000000000000e+02,3.201042521289451201e+02
1.550000000000000000e+01,2.970000000000000000e+02,3.201060450301092715e+02
1.560000000000000142e+01,2.970000000000000000e+02,3.201076626642260408e+02
1.570000000000000107e+01,2.970000000000000000e+02,3.201091195695343004e+02
1.580000000000000071e+01,2.970000000000000000e+02,3.201104294952399414e+02
1.590000000000000036e+01,2.970000000000000000e+02,3.201116053658096803e+02
1.600000000000000000e+01,2.970000000000000000e+02,3.201126592662565145e+02
1.610000000000000142e+01,2.970000000000000000e+02,3.201136024438760046e+02
1.619999999999999929e+01,2.970000000000000000e+02,3.201144453226718838e+02
1.630000000000000071e+01,2.970000000000000000e+02,3.201151975273645576e+02
1.640000000000000213e+01,2.970000000000000000e+02,3.201158679144330108e+02
1.650000000000000000e+01,2.970000000000000000e+02,3.201164646081102205e+02
1.660000000000000142e+01,2.970000000000000000e+02,3.201169950396487138e+02
1.669999999999999929e+01,2.970000000000000000e+02,3.201174659884989069e+02
